,zone_winning,zw_compas,zone_comp,zc_compas,zone_winning_2,zw2_compas,zone_winning_comp,zwc_compas,zone_comp_winning,zcw_compas,zone_comp_comp,zc2_compas
0,4101,4,4102+4103+4104+4105+4106,4,,,,,,,,
1,4101,4,4102+4103+4104+4105+4106,4,,,,,,,,
2,4101+4102+4103+4104+4105,4,4106,3,4101+4102+4103+4104+4105,4,,4,,,,
3,4103+4104+4105+4106,4,4101+4102,3,4103+4104+4105+4106,4,,4,4102,2,4101,6
4,4103,12,4101+4102+4104+4105+4106,3,,,,,4101,6,4102+4104+4105+4106,3
5,4103,6,4101+4102+4104+4105+4106,3,,,,,4101+4102,4,4104+4105+4106,3
6,4102+4103,6,4101+4104+4105+4106,3,4102+4103,6,,6,4105+4106,3,4101+4104,4
7,4106,3,4101+4102+4103+4104+4105,6,,,,,4101+4102+4103+4104+4105,6,,6
8,4103+4104+4105+4106,6,4101+4102,4,4103+4104+4105+4106,6,,6,,,,
9,4104+4105+4106,6,4101+4102+4103,4,,,,,4103,3,4101+4102,4
10,4104+4105+4106,6,4101+4102+4103,4,4105+4106,6,4104,3,4101+4102,4,4103,3
11,4105+4106,3,4101+4102+4103+4104,4,4105+4106,3,,3,,,,
12,4102+4103+4104+4105+4106,3,4101,4,,,,,,,,
13,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
14,4101,3,4102+4103+4104+4105+4106,3,,,,,4102+4103+4104+4105+4106,3,,3
15,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
16,departement,3,4102+4103+4104+4105+4106,3,,,,,,,,
17,departement,3,4102+4103+4104+4105+4106,3,,,,,,,,
18,4101,3,4102+4103+4104+4105+4106,3,,,,,,,,
19,4102+4103+4104+4105+4106,3,4101,6,,,,,,,,
20,4101+4102,6,4103+4104+4105+4106,3,,,,,,,,
21,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,6,,6
22,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
23,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
24,4105,8,4101+4102+4103+4104+4106,6,,,,,,,,
25,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
26,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
27,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,6,,6
28,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,6,,6
29,4102+4103+4104+4105,3,4101+4106,6,4102+4103+4104+4105,3,,3,4101+4106,6,,6
30,4102+4103+4104+4105+4106,3,4101,6,,,,,,,,
31,4101,6,4102+4103+4104+4105+4106,3,,,,,,,,
32,4101,6,4102+4103+4104+4105+4106,3,,,,,4102+4103+4104+4105+4106,3,,3
33,4101+4102,6,4103+4104+4105+4106,3,,,,,4103+4104+4105+4106,3,,3
34,4101+4102+4103+4105+4106,6,4104,12,4101+4102+4103+4105+4106,6,,6,,,,
35,4101,6,4102+4103+4104+4105+4106,6,,,,,4102+4103+4104+4105+4106,6,,6
36,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
37,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
38,4102+4103+4106,8,4101+4104+4105,6,4102+4103+4106,8,,8,4101+4104+4105,6,,6
39,4103,8,4101+4102+4104+4105+4106,6,,,,,,,,
40,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
41,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
42,4101,6,4102+4103+4104+4105+4106,6,,,,,,,,
43,4102,12,4101+4103+4104+4105+4106,6,,,,,,,,
44,4103+4104+4105+4106,6,4101+4102,3,4103+4104+4105+4106,6,,6,4101+4102,3,,3
45,4102+4103+4104+4105+4106,6,4101,8,4102+4103+4104+4105+4106,6,,6,,,,
46,4102+4103+4104+4106,6,4101+4105,3,4102+4103+4104+4106,6,,6,4101+4105,3,,3
47,4102+4103+4104,3,4101+4105+4106,6,4102+4103+4104,3,,3,4101+4105+4106,6,,6
